%time,field.header.seq,field.header.stamp,field.header.frame_id,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.velocity5,field.velocity6
1696251058365418666,27,0,,-0.051334099672168856,-0.020015954315943614,0.0731272188127417,0.024025177761856864,0.129037508245432,0.11755467493284429,0.08221319693649227
1696251058376459633,28,0,,-0.045138704186563586,-0.020511403119642085,0.0710511089399209,0.020714589773694236,0.12038447198441879,0.12293184891983792,0.08738029847974839
1696251058386310371,29,0,,-0.04507489832319946,-0.017602587065690456,0.07936652573797531,0.02411834561990798,0.11590673254244725,0.11709670042367325,0.08711550971330838
1696251058396606176,30,0,,-0.04307903214845821,-0.027501972488475905,0.07463261753149716,0.014710543558256555,0.11552872365452749,0.11901858264910936,0.08461073256959294
1696251058407589318,31,0,,-0.04467967564635415,-0.02794219988391558,0.06731223825909122,0.019907771806608094,0.1210708128890351,0.11737868522084093,0.0852936493566534
1696251058417466480,32,0,,-0.0423314250369272,-0.024823319279644276,0.0708284771765291,0.021172562874461533,0.11614885807753034,0.12065269902762314,0.08227314671293978
1696251058427637393,33,0,,-0.04326961669862033,-0.020612600557161256,0.06797195134252831,0.021526896837690605,0.12065609229412855,0.11979993056348925,0.07919813045594419
1696251058438542601,34,0,,-0.04276815597009843,-0.022985050615287,0.06646368903731452,0.014753166239515558,0.11548152945789392,0.11835325600201392,0.08589012897925952
1696251058449458118,35,0,,-0.042061964039838834,-0.02003008707929169,0.07049511509371255,0.018164224020754616,0.12428553615868458,0.13822435001021044,0.0858252525691415
1696251058460529874,36,0,,-0.04468618254395207,-0.01904911475031723,0.07207527759778967,0.013326345244168068,0.10682298905537627,0.1251563255344616,0.08159497734161458
1696251058471565750,37,0,,-0.038608690507783656,-0.021351943991113648,0.06111346371614723,0.014461811948413231,0.1180022461715222,0.13930772676748027,0.07490174705632129
1696251058481630031,38,0,,-0.0350947284341685,-0.02740102140193629,0.0575323619861159,0.012841860254802792,0.11193641392760874,0.13954641436093845,0.07879622660685655
1696251058491196251,39,0,,-0.04139319589971494,-0.02229135430689076,0.06350617592185757,0.015644529103332326,0.11817003353606484,0.1336530574091037,0.07937654108984789
1696251058502555716,40,0,,-0.04448068661006171,-0.028533522549720542,0.06139154042641113,0.016898839383567083,0.11354591853376561,0.14069108749623963,0.06654537709105564
1696251058513590962,41,0,,-0.04340616960947464,-0.019590725847492316,0.06292571698387497,0.00789967583009916,0.10641676953411258,0.15007008215720988,0.0684648479478981
1696251058524448032,42,0,,-0.0379048585363662,-0.024603499510335164,0.061626807907628825,0.01396665653182387,0.11666547739540192,0.15069596181535297,0.08315950168483757
1696251058535693743,43,0,,-0.03045898719026292,-0.028599270642291248,0.06479472742193412,0.010305756037855144,0.11527207175268306,0.14753207171089291,0.07148591631347749
1696251058545481238,44,0,,-0.02958124826717097,-0.026380152546589684,0.06099447517356443,0.013641727626509595,0.10581094230681544,0.15411664789491966,0.06282734022138481
1696251058556376904,45,0,,-0.027774156725325107,-0.024189474553329163,0.057729925372166355,0.012435095373758628,0.10313338789648935,0.1453467211397127,0.05893920072090499
1696251058567505429,46,0,,-0.030170203391122374,-0.02609988033888994,0.06323201308208917,0.01333186003513346,0.09698865859414021,0.151368518319141,0.06682617128840886
1696251058577470050,47,0,,-0.03357044424789211,-0.027355519395777145,0.058016187810352726,0.017379649549590964,0.089456043971475,0.14391735234636424,0.0627361608454701
1696251058588863672,48,0,,-0.027541184906128745,-0.02426204391705875,0.054323847236999845,0.01156546913414485,0.09109447653906719,0.15614876303168235,0.05996950363012948
1696251058599189055,49,0,,-0.02448797724834291,-0.030268120532365043,0.058504830765627784,0.009241800600777273,0.08883042074761069,0.1553205853567177,0.05935536711502107
1696251058610695967,50,0,,-0.02862140453659513,-0.025047491627189975,0.05116386214445207,0.016217226097941143,0.09027009618697497,0.15302315266050465,0.06285644494079676
1696251058620602547,51,0,,-0.033394380076301015,-0.025537926700340604,0.05797486665896319,0.014647596060049492,0.09360152054298906,0.16906949099420263,0.06578546738805742
1696251058630672747,52,0,,-0.030220295589153484,-0.028688238722224677,0.056842494964830216,0.011621469029222575,0.09229868233033434,0.1657234359935469,0.06882330456146782
1696251058641297102,53,0,,-0.034666845016383896,-0.02621124694179006,0.055144954919028676,0.012308970071141278,0.09162014363678764,0.17153222292106599,0.049784606745619325
1696251058652236077,54,0,,-0.02837567285994168,-0.026689101359423824,0.05256176521750727,0.009155755541616826,0.0812505911635957,0.1804708237229461,0.05766423256615663
1696251058662530542,55,0,,-0.03214585664420903,-0.028929421576016044,0.057046038811684206,0.00992786956223275,0.08755556322757639,0.1769102793805746,0.04488442557426243
1696251058672805501,56,0,,-0.0263801324742505,-0.02825125973309119,0.051905020057356505,0.01289976622610462,0.07729335741291049,0.1687349223753719,0.05818361667640537
1696251058683635218,57,0,,-0.017391849818530748,-0.03280977860469121,0.05024388161345744,0.010569040713521594,0.08118222376038185,0.16315150642385579,0.05759528634524214
1696251058693241108,58,0,,-0.026023081574800416,-0.03416323070402675,0.048565026269479304,0.00794783907302821,0.07550007168665017,0.1653526567166619,0.04773319941865712
1696251058703555453,59,0,,-0.02373606463632531,-0.028209934337190212,0.04990571024902446,0.009876609597020126,0.084036500395092,0.16909087853110139,0.048249682027745516
1696251058714874599,60,0,,-0.020675791096696053,-0.03628829449554927,0.05331081261180954,0.008507461937791333,0.07059639666233326,0.1654395592667682,0.05440714575006919
1696251058724485807,61,0,,-0.024194630134795156,-0.03270635391045678,0.04332573802001834,0.009248526859531734,0.0788401120899888,0.17578208007699211,0.05040492295507151
1696251058735338706,62,0,,-0.021866548364033823,-0.03218598689289937,0.046361018366732676,0.008070920156822453,0.07794395732315663,0.1872883718214063,0.0445244423482204
1696251058745900123,63,0,,-0.026656290635549376,-0.030360396732333622,0.051649103834035315,0.007880179363440327,0.0790076225716489,0.17177083840328314,0.050438905727880214
1696251058756691467,64,0,,-0.02367058651186478,-0.03582400769639422,0.05133950519627756,0.012168119136472335,0.07662590845159031,0.18280586066406246,0.043841627196667184
1696251058767598742,65,0,,-0.014830458043108832,-0.028850319959173417,0.04622913755858371,0.0073142919791259016,0.07087893440957196,0.19482200323295534,0.03999706483964686
1696251058777667177,66,0,,-0.01570077929340907,-0.03144850540409063,0.04121303208326747,0.006916103069090065,0.06729262877235431,0.18797988430062126,0.049888823521690745
1696251058788618566,67,0,,-0.016962580085385797,-0.034030099372843264,0.03814474105895979,0.008776153345988257,0.07592042060061395,0.18498752892613052,0.0394004216945711
1696251058798538055,68,0,,-0.018677466644425673,-0.030235517361938545,0.045076112084456416,0.005848562262337278,0.0701091848680327,0.18005478663473534,0.05349022617693608
1696251058809573873,69,0,,-0.015978394908947216,-0.02748608131017312,0.039745108043846844,0.012550557301410215,0.06545493225287209,0.17175613509213564,0.039811481738462905
1696251058819561052,70,0,,-0.019291417811642172,-0.03798008386389523,0.04147406464259999,0.010241594701232912,0.06239124690607189,0.1810290833514921,0.04070449877091451
1696251058829283001,71,0,,-0.01639442644151855,-0.035334908402932394,0.039200745275798775,0.006525063639821796,0.060650315177899004,0.18493036414711464,0.035829900497847914
1696251058840711440,72,0,,-0.01257410635173243,-0.030249740445093216,0.04108076455295953,0.003975045674618809,0.06044642465037833,0.20148394720168386,0.03404387570512483
1696251058850252914,73,0,,-0.013214858405295115,-0.032006410200158354,0.04009814819670704,0.008548202336901626,0.058771258985410635,0.18712206109354626,0.02930109307372875
1696251058861383341,74,0,,-0.005172438926372029,-0.032988802169167,0.0380993505831155,0.003600660074496796,0.051712647070202344,0.18738524573453505,0.03155745607981605
1696251058872374484,75,0,,-0.014305944374569432,-0.028090699322575956,0.03965106965310162,0.0012649074949762549,0.05405069260844256,0.20805035541779013,0.033753975748239386
1696251058883422246,76,0,,-0.010460469863895762,-0.0265300468923299,0.03738959482626852,0.005995945461772443,0.05566353265371172,0.19758480326016098,0.034708966403785006
1696251058893682892,77,0,,-0.0074977802520457635,-0.02601138567306971,0.034675944831625095,0.006049765776255877,0.05531227137510506,0.1881366646016961,0.0317064347116855
1696251058904293027,78,0,,-0.012376337498681356,-0.026436469311421806,0.03506476654569435,0.009433798333909841,0.04898992598603281,0.19520166869935818,0.03505758985800157
1696251058915433164,79,0,,-0.01129259396767341,-0.02753094825263836,0.032078829576108955,0.005667716950970032,0.0540165546161598,0.19379533396061635,0.035890677583717646
1696251058926505222,80,0,,-0.013524513954944757,-0.0265599624897259,0.035507984628841735,0.007677126326099625,0.04728857801056003,0.18627110926306806,0.02470681689472686
1696251058937196175,81,0,,-0.013213915946405582,-0.028044309412817672,0.027352932301982966,0.0004943326747630587,0.04086257546530521,0.1904810841292312,0.03475516097792819
1696251058947613901,82,0,,-0.009057803316517753,-0.027216754058866276,0.026912435428487754,0.0017518900161528827,0.04355216246649346,0.2065424934023912,0.03202244195070983
1696251058957363933,83,0,,-0.010480161537428404,-0.025632938095136434,0.02767081349483568,0.0019852550914769237,0.03496122377695203,0.20408763947157324,0.02552748175486567
1696251058968558468,84,0,,-0.0036989832540171227,-0.028786956462554424,0.026034337274993342,0.002276309894774765,0.03734740580802437,0.2050439965104975,0.03160050861285605
1696251058979278029,85,0,,-0.005786213160604461,-0.02662121253147947,0.02770558964421288,0.004557435423931888,0.04447589401472181,0.21153248111645878,0.03101411432880621
1696251058990045208,86,0,,-0.0018930001036701462,-0.030324322561792415,0.025869250954511452,0.011389327770861223,0.04314758710492955,0.20946151736367963,0.029318668288199005
1696251059000624141,87,0,,0.00022974834134790545,-0.026212015479668418,0.027768223006315096,0.010776007716321616,0.04180580554161364,0.1922053736942214,0.015418261189507272
1696251059010609640,88,0,,0.00048473017388914614,-0.023943830428299735,0.026419310483694728,0.00948242744128426,0.02678362480327289,0.1953313206839163,0.021851576988756984
1696251059021465367,89,0,,-0.0006906305833408435,-0.01991989455988015,0.023077181083965708,0.01000782445733613,0.03466337086757626,0.19782840127018309,0.02487288601017605
1696251059032405958,90,0,,-0.0009213362983698174,-0.021775155930922097,0.022466575109602822,0.005693211385309545,0.03427261256390741,0.20486109308860995,0.01918452669056896
