%time,field.header.seq,field.header.stamp,field.header.frame_id,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.position6
1692705565606151937,25,0,,-0.07963948669849813,-0.7757908268532488,0.04956272863758034,-2.3415716424677098,0.04729544672386224,1.535884984260697,0.7926797865482034
1692705565616723654,26,0,,-0.08450493145407238,-0.7752180218605605,0.052582540524774686,-2.3407314777196206,0.050080957474374944,1.5340305921380644,0.7926741505630441
1692705565627786341,27,0,,-0.08941628527587037,-0.7746290626222038,0.05556377587322142,-2.3399053709757074,0.05282672836485322,1.5321581971953677,0.7926759465940114
1692705565638953599,28,0,,-0.0943901484034299,-0.7740402680791464,0.05847388844403775,-2.339066220746296,0.05556126569546707,1.5302589738811267,0.7926759349636889
1692705565649998702,29,0,,-0.09944400141170498,-0.7734981835753653,0.06133333013337999,-2.338262703612849,0.058345931042046564,1.5283406742149015,0.7926780828224941
1692705565661111518,30,0,,-0.10441616180685118,-0.7729480649962993,0.06418657506630882,-2.337415569150299,0.06107329912398451,1.5263086585068497,0.7926803076963367
1692705565672360577,31,0,,-0.10930268425594133,-0.7724171480321141,0.06707724575186529,-2.336597342022157,0.06380472031627647,1.5242193405032125,0.7926762956068738
1692705565682851961,32,0,,-0.11419739704651367,-0.7719234294995126,0.07003964147152635,-2.335806760151451,0.06658482349214115,1.522202219771315,0.7926795971328892
1692705565695358009,33,0,,-0.11905538319943436,-0.7714415242476388,0.07299143586642051,-2.3350259514723875,0.06946885025374455,1.5202604496803513,0.7926722713998706
1692705565705152568,34,0,,-0.12390604492537616,-0.7709638392635546,0.0759672704475928,-2.3342536678802075,0.07233881131443282,1.5183831168824955,0.7926766586688401
1692705565716262984,35,0,,-0.12828452408390664,-0.7705500639833858,0.07861451608917921,-2.3335826037252247,0.07495834698257406,1.5166608586956016,0.7926759335102864
1692705565726245300,36,0,,-0.13303925564675406,-0.770082910375311,0.08150453910116058,-2.3328462768105394,0.07788806783930798,1.514750560919212,0.792672989290886
1692705565736972305,37,0,,-0.1377647644018949,-0.7696402244942971,0.08436082860589171,-2.3321279985724988,0.08083106442264071,1.512845355870061,0.7926791350300991
1692705565747220374,38,0,,-0.14209690269179956,-0.7692513846874071,0.08691193270915996,-2.33148663125508,0.08344648496736042,1.511113853770175,0.7926773969155492
1692705565757066364,39,0,,-0.14646161760905985,-0.7689017759539228,0.08943365642680012,-2.330847867189926,0.08601128345744605,1.5093722341544762,0.7926719068850103
1692705565767148029,40,0,,-0.15084862468023957,-0.7685395874435857,0.09191898324865921,-2.3301946014798474,0.0886834353603348,1.5075457203204667,0.7926759336895155
1692705565777209649,41,0,,-0.1551865883506048,-0.7681937365542346,0.09436906143871185,-2.3295187469247116,0.09141388914311814,1.5056879397387155,0.7926811375106587
1692705565787896552,42,0,,-0.15989001385780208,-0.7678245477004267,0.09704856331413521,-2.3287738561924534,0.09444360801056843,1.5036125585131803,0.7926716772227793
1692705565797998962,43,0,,-0.16417439968144307,-0.7674796475010942,0.09951202163564958,-2.3281033056778417,0.09726811808857787,1.5018154998463837,0.7926787819808588
1692705565808900349,44,0,,-0.1688752453085273,-0.7671308203575854,0.10217579375791667,-2.327364023931738,0.10030764862297065,1.4998546907696566,0.7926795956194409
1692705565820238044,45,0,,-0.17360151459486142,-0.7667732809041387,0.10480788203548362,-2.326602561212265,0.10330136779766343,1.497948648838171,0.7926803072117461
1692705565830165179,46,0,,-0.17789481149858494,-0.766449408158949,0.10720468751045609,-2.3258987460675953,0.1060204956630765,1.4962470457685837,0.7926752257938846
1692705565841173001,47,0,,-0.1825582443890794,-0.7660956996178702,0.10977653895119564,-2.325110216125252,0.10912240745369917,1.4943411048135846,0.7926810217111774
1692705565852148852,48,0,,-0.1871779705330342,-0.7657523153164515,0.11235460991412854,-2.324318683176699,0.11225869867317416,1.4924200394253342,0.7926766342840921
1692705565862717465,49,0,,-0.19179838486013712,-0.7654290215951836,0.1149435178195225,-2.3235513193195936,0.11549145233428883,1.4904517875968681,0.7926753391787875
1692705565873736624,50,0,,-0.19640458891532062,-0.7651313150675052,0.11752445917788801,-2.32279039918392,0.11870405459840667,1.4885260247237684,0.7926752214339068
1692705565883665673,51,0,,-0.20058638929988093,-0.7648755541322223,0.1198765708266855,-2.322117487888832,0.12156647832475828,1.4866919373371725,0.7926736795411985
1692705565894158112,52,0,,-0.20475233014909874,-0.7646249177287918,0.12220476053203284,-2.321462217010161,0.12441528136199845,1.484796381910124,0.7926791298611858
1692705565905239574,53,0,,-0.2092750949705963,-0.7643322583866121,0.12471888664683362,-2.320785360970958,0.1276384291317278,1.4827516394734586,0.7926715593828588
1692705565916076554,54,0,,-0.21374226863680523,-0.7640564068311864,0.12721523639330914,-2.3201276166407747,0.13092786104726836,1.4807488470206092,0.7926759335100653
1692705565926538284,55,0,,-0.21785620131469782,-0.7638057527566352,0.1294665494674403,-2.319548887829892,0.13396831998993142,1.4789806223309132,0.7926708472462163
1692705565936557408,56,0,,-0.22197889310118346,-0.7635566513123534,0.13161510451466893,-2.3189923214342563,0.13702399237383742,1.4772233595607418,0.7926766848327446
1692705565947049505,57,0,,-0.22653802104938212,-0.7632691649946058,0.13400925263622301,-2.318370773210614,0.14027327082592378,1.4753183497626887,0.7926752262786311
1692705565957187237,58,0,,-0.23067116932209142,-0.7630011213889271,0.13610608378478017,-2.3177772827633705,0.143191981417841,1.473608754682944,0.7926752214333241
1692705565967722857,59,0,,-0.23516287794831742,-0.7626954848090174,0.13837554270728694,-2.317136906616893,0.14646316744724644,1.4716711834572864,0.7926795825374877
