%time,field.header.seq,field.header.stamp,field.header.frame_id,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.position6
1692698631566431494,26,0,,-0.0007858012433976105,-0.7854198224671816,-0.00021812506184671067,-2.358239861518309,0.002517282103087634,1.5759867897814521,0.7790837881760666
1692698631577298291,27,0,,-0.0007800120238485245,-0.7854110724438769,-0.00018735515625715072,-2.3582370774453145,0.0025235166401050956,1.5759873841212877,0.7790888361286341
1692698631588371453,28,0,,-0.000782513293276888,-0.7854073174151592,-0.00012320626853578681,-2.3582343197374867,0.002524833631814698,1.5759870220775958,0.7790909897592355
1692698631598063461,29,0,,-0.0007857233564347674,-0.785381971591123,-0.00010118143536161138,-2.3582370004838737,0.0025269390073277224,1.5759913766654199,0.7790872926545889
1692698631608267860,30,0,,-0.0007856827117434797,-0.7853420771809685,-8.745973238537171e-05,-2.3582368902545636,0.0025243876740883814,1.5759885510237053,0.7790841913744536
1692698631619363704,31,0,,-0.0007994448733561545,-0.7852605808633714,-8.477026686875315e-05,-2.358228094520719,0.002523025792107842,1.5759879241078114,0.7790824375952262
1692698631630444678,32,0,,-0.0008034956808627286,-0.7851718836960839,-9.231607106739969e-05,-2.358233659752601,0.0025247033128721857,1.5759881979165669,0.779082540146333
1692698631640983126,33,0,,-0.0008070766349658056,-0.7850819485972589,-0.00010047278800468803,-2.3582447308541625,0.002523026280985108,1.575986667574133,0.7790809047846989
1692698631651153572,34,0,,-0.000806941634825395,-0.7849984140351108,-0.00012205527994216242,-2.3582506328725983,0.0025233979895989663,1.5759844374427892,0.7790856526153828
1692698631661078731,35,0,,-0.0008105453771254935,-0.7849237874571003,-0.00011852871002129057,-2.3582640495146445,0.002527818829726385,1.5759825516847321,0.7790891855082615
1692698631672165767,36,0,,-0.0008112518640374411,-0.7848802837554629,-0.00011855067159058571,-2.3582593455502487,0.0025267147553431264,1.5759809576343853,0.7790852582124398
1692698631681995850,37,0,,-0.0008043495269856146,-0.7848730978753587,-0.00011323214931233653,-2.3582652274211546,0.0025301073958472146,1.5759805940050564,0.7790880184279203
1692698631693072537,38,0,,-0.0007925809977220035,-0.7848756683507129,-0.00010624659531550219,-2.3582599406645173,0.0025365783873605155,1.5759832710354227,0.7790857461945463
1692698631703257522,39,0,,-0.0007869796453102654,-0.7848836280673652,-9.31247150900469e-05,-2.358250899755466,0.0025413681684997667,1.5759796162239719,0.7790851707963952
1692698631714020580,40,0,,-0.0007915226953970126,-0.784888397025757,-8.984987073925132e-05,-2.3582459862729706,0.0025458973530816933,1.5759831474695185,0.7790838158849221
1692698631724287859,41,0,,-0.0007910618551964674,-0.7848882432815251,-8.696970160079959e-05,-2.3582512731385292,0.0025520266468935125,1.575979357303881,0.7790786236759577
1692698631735003421,42,0,,-0.0007869784678462743,-0.7848886613570295,-9.523846863096941e-05,-2.3582512727993197,0.0025630260223091445,1.575977728383519,0.779081951455446
1692698631745288202,43,0,,-0.0007832888589241509,-0.7848858311479887,-9.510008932669239e-05,-2.358267057855066,0.002579486143712134,1.5759711499346662,0.7790833360307282
1692698631756365132,44,0,,-0.0007776708968592283,-0.7848915560665335,-8.986113081867737e-05,-2.358276271132738,0.002680779257016935,1.5759683880296036,0.7790767731220561
1692698631767015622,45,0,,-0.0007681765912638158,-0.7848975742853175,-8.141304764304665e-05,-2.358277433004873,0.0027732483113197363,1.5759647379426176,0.7790757367107174
1692698631778204977,46,0,,-0.0007455874877348365,-0.7849078833060937,-5.6976400129075894e-05,-2.3582777895818485,0.002786941237450635,1.575960940839623,0.7790734812320267
1692698631789034394,47,0,,-0.0007341180448455861,-0.7849216345519078,-1.0971575506113008e-05,-2.358280859419636,0.0027877724437148027,1.575961884864403,0.7790734812319279
1692698631800432657,48,0,,-0.0007203397602787145,-0.7849167401207486,4.385778329526207e-05,-2.358275031101948,0.0027881431774950363,1.575963510491974,0.7790720570237739
1692698631810450694,49,0,,-0.000713527716324005,-0.784900891544684,7.829743720291204e-05,-2.3582778746676922,0.002792441759953012,1.575961818247412,0.779065465461937
1692698631821245574,50,0,,-0.0006899082847295322,-0.7848821418002232,0.00010117855285504581,-2.3582858716051556,0.0027999587701776174,1.5759621400084827,0.7790548634804018
1692698631831298351,51,0,,-0.0006615419629350595,-0.784852661542341,0.00012024518211154779,-2.3583005969196016,0.0028017997623490747,1.5759624123413858,0.7790537401725748
1692698631842677611,52,0,,-0.0006361971287533354,-0.7848185688605637,0.00012672701913382265,-2.358317775726478,0.0028028657655591086,1.5759606005977034,0.7790397848210917
1692698631853334192,53,0,,-0.0006407696653496673,-0.7847813287251865,0.00012424623960177085,-2.3583328204269,0.0028011844664179875,1.575960665992643,0.7790360085219852
