%time,field.header.seq,field.header.stamp,field.header.frame_id,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.position6
1699372455564303524,20,0,,9.547308507248382e-06,-0.7864745564730259,-0.0018836413230556776,-2.355656651262447,-0.0016289336411134353,1.5782708206434666,0.7902137584021867
1699372455575103941,21,0,,1.0356272666536128e-05,-0.7864745299943108,-0.0019348077323163857,-2.3556568257142056,-0.001553001951940976,1.5782660130197017,0.7899251414903847
1699372455586197260,22,0,,1.0829389370703807e-05,-0.7864721458083703,-0.0019924183362406344,-2.3556595576848465,-0.0015093818758447643,1.578261120962885,0.7896189405312087
1699372455597438751,23,0,,2.6163476355641586e-06,-0.7864660247233066,-0.002043608964314474,-2.3556617649589886,-0.001465169996819036,1.5782559906108338,0.7893235048449908
1699372455608027689,24,0,,7.597369687379239e-06,-0.7864665007620186,-0.002092285669672589,-2.355654113484578,-0.001416535851841559,1.578253904471539,0.7890323092066338
1699372455617976724,25,0,,-2.3971807620452464e-06,-0.7864709309206243,-0.0021154840308145527,-2.355659803930986,-0.001371034582027528,1.5782452478667242,0.788780878458257
1699372455629001628,26,0,,-2.207250796330336e-06,-0.7864679182952912,-0.002153019466847111,-2.3556534921449455,-0.0013193692102417911,1.5782396566760866,0.788494844656048
1699372455639781457,27,0,,-5.28581483944917e-06,-0.786465020694522,-0.002196691969848061,-2.3556575798193395,-0.0012697565276923442,1.5782339073440923,0.7882149593407944
1699372455649847323,28,0,,-6.033459756986401e-06,-0.7864599387462191,-0.002224787187728717,-2.355659805025931,-0.0012180919204609778,1.5782278342599163,0.7879777521749972
1699372455661193338,29,0,,-8.273101044623054e-06,-0.7864610129909632,-0.0022574948201197443,-2.3556598050636155,-0.0011658732480017212,1.578214743246277,0.7877251508273055
1699372455672098939,30,0,,-6.2540441840754214e-06,-0.7864560333339058,-0.002291131284336268,-2.3556625891233747,-0.0010990378532797285,1.5781997279956086,0.7874839648484169
1699372455682020130,31,0,,-9.202240106391154e-06,-0.7864501972324274,-0.002324070122487177,-2.3556625901408594,-0.0010540404146497818,1.57817499021026,0.7872524742168764
1699372455692973771,32,0,,-1.3846375119049844e-05,-0.786452203053407,-0.002373887327004319,-2.3556517312903207,-0.0010100076900804848,1.5781147738969292,0.7870184910540157
1699372455702829697,33,0,,-1.1961591306642811e-05,-0.7864489726031721,-0.0024153038245464655,-2.355662586070919,-0.0009683229818615202,1.5780686917235596,0.7868021906349484
1699372455712992104,34,0,,-2.3017587652374102e-05,-0.7864431074971713,-0.0024562457986221486,-2.355667320017177,-0.0009211397364721304,1.578069328269648,0.7865948016985541
1699372455723964296,35,0,,-2.2859891763720125e-05,-0.786442502922789,-0.002510737704675962,-2.355660830814285,-0.0008684530159442751,1.5780716679493587,0.786370549664904
1699372455735048904,36,0,,-2.2408339767447202e-05,-0.7864387228792672,-0.00257517775642867,-2.3556651820205454,-0.0008101925701765275,1.5780709558725357,0.7861434669605846
1699372455745723416,37,0,,-3.616814037036563e-05,-0.7864281057684699,-0.002611549715345126,-2.355665926970866,-0.0007581545659296499,1.578070568411275,0.7859360832091662
1699372455756588887,38,0,,-4.6298401245091206e-05,-0.7864215964262341,-0.0026485810730197115,-2.3556603486891126,-0.0007141214738624009,1.5780705400847632,0.7857288215302852
1699372455767079941,39,0,,-5.8537555967822594e-05,-0.786422983311261,-0.002715385320672228,-2.355665102820473,-0.0006628496822260441,1.5780667824172612,0.785495840778258
1699372455777038784,40,0,,-6.455668747101212e-05,-0.7864117817513756,-0.0027577121190274327,-2.35566589847994,-0.0006095514721638275,1.5780601499727491,0.7852900857262055
1699372455787143752,41,0,,-7.487497663655818e-05,-0.7864013252077802,-0.002799145404201696,-2.355668432636782,-0.0005693256155812335,1.5780537194601412,0.785082140921284
1699372455797119496,42,0,,-8.410518384597311e-05,-0.7863918859900599,-0.0028445636680089373,-2.355663166471237,-0.0005288601267542412,1.578049973149999,0.7848880999145621
1699372455808345633,43,0,,-8.272325327279912e-05,-0.7863848005444642,-0.002897957509816619,-2.355660349706731,-0.0004798565361656199,1.5780451785516283,0.784672745133768
1699372455818101617,44,0,,-9.026771291493323e-05,-0.7863780132344846,-0.0029345858348057896,-2.355665926644165,-0.00044105400227828116,1.5780342736936679,0.7844945499482268
1699372455829140666,45,0,,-9.157409613666486e-05,-0.7863620519832906,-0.0029803515423321475,-2.3556575826533748,-0.00039418701464664354,1.5780269456769762,0.7842839483542816
1699372455840164862,46,0,,-9.479765111313598e-05,-0.7863526340490083,-0.0030267206922517265,-2.3556659269835265,-0.0003356172386477774,1.5780124813525174,0.7840852273143329
1699372455850852228,47,0,,-9.549519105269574e-05,-0.7863389371506558,-0.0030683905037013144,-2.3556603588639646,-0.0002922716852421659,1.5780073703540716,0.7839000182939702
1699372455860942856,48,0,,-9.837336939784375e-05,-0.7863194073008403,-0.003107844325913916,-2.3556605707915903,-0.000257036577519495,1.5779982338598872,0.7837247858968684
1699372455871169806,49,0,,-0.0001039548444290703,-0.7863091559891193,-0.003145491455696935,-2.355660994650431,-0.00022506033452735372,1.5779889131517002,0.7835636187692587
1699372455881187776,50,0,,-0.00010429400321798554,-0.7862999899943833,-0.003185866076559398,-2.3556631430313937,-0.00018166865903970975,1.5779812813338832,0.7833856971894125
1699372455892053193,51,0,,-0.00010687054623887536,-0.7862874615461298,-0.0032483197572925186,-2.355665694001309,-0.00012814622961423525,1.5779698130586002,0.7832179962528554
1699372455902743897,52,0,,-0.00011572003578061126,-0.7862799253037581,-0.0032868532145197893,-2.35566613982994,-8.676198136128907e-05,1.577959672050793,0.7830474352705907
1699372455914107340,53,0,,-0.00011499210531480272,-0.7862725232531639,-0.003333573440186953,-2.355666000443203,-4.681118327480193e-05,1.5779467495789161,0.7828782227555802
1699372455923759021,54,0,,-0.00011999899286220104,-0.7862630597889452,-0.003383965035358248,-2.3556653442286084,-8.599752978689332e-06,1.577933125273747,0.7827272563816935
1699372455935094531,55,0,,-0.0001267248529393035,-0.7862509931175498,-0.0034338053978298063,-2.3556597256187803,3.282436831354166e-05,1.57792263756319,0.7825783064769862
1699372455944808853,56,0,,-0.00013566241828910988,-0.7862398993832597,-0.0034647173156425134,-2.3556632195841765,7.249631221298916e-05,1.577913814107567,0.7824357826817411
1699372455955030602,57,0,,-0.00014221572254138185,-0.7862437475382997,-0.0034934265925441093,-2.3556712936602087,0.00010289654427681734,1.5779045484939667,0.782290838231432
1699372455966225297,58,0,,-0.0001402377124311073,-0.7862373432588582,-0.003542684469508269,-2.355663219886914,0.00013596640228137152,1.5778955511540813,0.7821398675371816
1699372455976838641,59,0,,-0.00014765797117346832,-0.7862287204110557,-0.003591432286634114,-2.3556604122796405,0.00017734928058063459,1.5778875382436317,0.7819850417507321
1699372455988153203,60,0,,-0.00015637972457968748,-0.7862246707279817,-0.003622613263269071,-2.355668787909395,0.00021254106297283418,1.5778762470405447,0.7818394473918877
1699372455999055395,61,0,,-0.00014730953780094525,-0.7862181772520193,-0.003658088622729716,-2.3556660039466717,0.00025043510549305746,1.5778726416672213,0.7817042988568484
