%time,field.header.seq,field.header.stamp,field.header.frame_id,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.velocity5,field.velocity6
1699354833637401049,27,0,,-0.06140450632804805,-0.08647682791240344,0.11149282018553379,-0.029007927831497308,0.13397992605427267,-0.0002465358466045047,0.035034851057177185
1699354833647493034,28,0,,-0.05618910297449817,-0.08471783279580355,0.11731124744678273,-0.034860651335561425,0.13697699227241444,-0.00013138586133604007,0.02926117346494886
1699354833658796972,29,0,,-0.05826611343930404,-0.08194375435528742,0.11795891451098645,-0.03607998582764749,0.13465345844675916,-0.0005018884038773138,0.031621571481455224
1699354833669346939,30,0,,-0.058268905241072755,-0.08872653989179916,0.10645137907385839,-0.03503979444118231,0.13510252156181854,-0.0011359876683065314,0.035849138528226236
1699354833680615579,31,0,,-0.053286775263202114,-0.08775590769148069,0.1040510639912568,-0.02865175843801195,0.12127569787520039,0.01586871188803916,0.038418343733689936
1699354833690514523,32,0,,-0.04869862149392652,-0.08723637357925819,0.1003336251774203,-0.03177185734837458,0.129559764955465,0.018441407914091434,0.032672978566461966
1699354833701596778,33,0,,-0.05341404036494366,-0.0873943334662277,0.09134260409857585,-0.02983705660992672,0.1196342262278361,0.022793074359606726,0.030360222436352002
1699354833712638247,34,0,,-0.04424972329571225,-0.07838202337510591,0.09127072827992293,-0.024698636986026444,0.12653948855634883,0.024859821761256336,0.031040309042132588
1699354833723623990,35,0,,-0.04835300370563484,-0.08433360533601597,0.08547873985392761,-0.026814496788564655,0.11482755001004197,0.03523784002721658,0.036214740659023074
1699354833734793541,36,0,,-0.03958268832381812,-0.07714099446652554,0.08426590146817825,-0.028263462594958308,0.10728425153218389,0.03538450069183486,0.033465676590861276
1699354833745491454,37,0,,-0.041478755391679244,-0.08054148019564672,0.0860835302685968,-0.028852798308007493,0.11542146785412075,0.04474295214073411,0.03364143803830655
1699354833756390441,38,0,,-0.03803276150107484,-0.0853369392099368,0.07672999180121673,-0.029991989564908197,0.1090294292117364,0.04823413456836898,0.02795775830788199
1699354833766395790,39,0,,-0.04106629104368242,-0.08868499211687172,0.07891151122066205,-0.02620716550439736,0.1047768415994291,0.05494123009787814,0.028157628707156376
1699354833776544226,40,0,,-0.035019194223107696,-0.07971160295601588,0.08352045173257554,-0.02475564498910883,0.0975838624183596,0.06160353081732171,0.027165318068254896
1699354833787374666,41,0,,-0.040189655759910924,-0.07776807799955779,0.07061133108146075,-0.022879795532759713,0.09654483483379625,0.06215853093366242,0.032326414158814654
1699354833797546206,42,0,,-0.03820914276788269,-0.07753907450532435,0.06892612286099058,-0.026512856868970897,0.09584368314541444,0.07118399999684104,0.024244496610190024
1699354833808629110,43,0,,-0.03695718819084503,-0.07285078864998101,0.06821861517767103,-0.018286038358726848,0.09117475678002457,0.07348072891444545,0.027753753046750755
1699354833818404259,44,0,,-0.027556303586197456,-0.07183095024723923,0.06598391685155393,-0.026649108107439805,0.09465761888998897,0.08728106993248147,0.02714038257870199
1699354833829657220,45,0,,-0.024997068424548276,-0.07831221828899611,0.056277588429115295,-0.02546477248060945,0.09534895394218978,0.08146822380405498,0.029977319046423177
1699354833839289344,46,0,,-0.023972088771162695,-0.07106829983215822,0.05679787221992157,-0.01774447541723619,0.08378136579509964,0.08020346791762104,0.030530411266337168
1699354833850852360,47,0,,-0.01575154407707642,-0.06993740164094638,0.05532349894447159,-0.0229590658033305,0.08631903961790412,0.0943327274252794,0.02252110481543871
1699354833862303630,48,0,,-0.015599484078284874,-0.06463767944193306,0.04787700635399281,-0.020039149525394012,0.07799552476069296,0.09786098554251978,0.02487186840785804
1699354833871513662,49,0,,-0.01494174750949117,-0.06773383063406949,0.04940830767430644,-0.015708662418632675,0.0710885278020144,0.0993618854133519,0.023047239574353503
1699354833882450071,50,0,,-0.018155197150676792,-0.06701164594304461,0.04907476017795725,-0.017839089321709703,0.0756276532642194,0.09643162517345326,0.022003834086998027
1699354833892605486,51,0,,-0.014697639337432277,-0.06567961803479873,0.047816509952581306,-0.022802361592050405,0.07302298094583384,0.11524290926895653,0.024098552865637113
1699354833903579966,52,0,,-0.018481302940154484,-0.0692938766650754,0.04089461791163921,-0.01592458230147601,0.0693331391680001,0.10745588872528766,0.028515640340389233
1699354833914601462,53,0,,-0.012411551709080718,-0.057218359204830274,0.036902944193610496,-0.01566780060843699,0.06566791100007992,0.12071955442137496,0.03013728216149409
1699354833925663302,54,0,,-0.012831483839397272,-0.057068906260156836,0.039638208041692415,-0.013379481590289344,0.06138052083121753,0.12932507185280762,0.029132508033681642
1699354833936657655,55,0,,-0.003742361472436169,-0.062095053578464926,0.03498292470441764,-0.010735498586579842,0.06297710270053575,0.13159910179408624,0.028456320858146224
1699354833947718675,56,0,,-0.008090283761072133,-0.05648525944830987,0.03111156442106642,-0.015542508809917319,0.05940803173207739,0.14684927103772027,0.024540023553165653
1699354833957783679,57,0,,-0.004813413408058055,-0.05618231879755039,0.02846586748008184,-0.01420022466536998,0.04336993828480126,0.14299614643476874,0.024856029790657066
1699354833967477084,58,0,,-0.00035197057071891294,-0.0524821292205887,0.0318929788783926,-0.009518665140556474,0.04245588927312801,0.1451536767116355,0.023271147607379004
1699354833979343257,59,0,,-0.0001387293262123387,-0.05277447303082433,0.022864741134092866,-0.009596585121620486,0.03870792796725986,0.1397272817803479,0.02242502664887179
1699354833988614231,60,0,,0.0009658046154031865,-0.05913393625221902,0.019385267672682917,-0.012007141311950336,0.0376458472833795,0.14178765340993313,0.024803539151738864
1699354833999645259,61,0,,0.0050229689171158165,-0.04868083999840601,0.016202449720954738,-0.013539806438865517,0.04373540897642288,0.14908877554900096,0.02514607168825871
1699354834010639447,62,0,,0.0034954566773938676,-0.048199462989019566,0.014501245097751135,-0.014525066269059646,0.0372629013123767,0.1467832514760479,0.022631206521195605
1699354834020506212,63,0,,0.011724062363932185,-0.05567872144894115,0.0113661937559304,-0.00866361631767172,0.03526244114182998,0.16719876474410905,0.01818130789722112
1699354834031561630,64,0,,0.00887530177582574,-0.05084810857842711,0.010103325718435677,-0.01047904816977431,0.030840516524147432,0.16890817929422497,0.025826761284384422
1699354834042366438,65,0,,0.01288860868812359,-0.04828484191363832,0.00972027056523461,-0.004256194045472567,0.02661298227037662,0.17292882462277026,0.015717406579288298
1699354834052488661,66,0,,0.007817548905760216,-0.0466686092857135,0.011700324155221646,-0.01069238628542385,0.019331222751640835,0.16799521440630813,0.026608373810266477
1699354834062711656,67,0,,0.004413609284133654,-0.043116544423835855,0.007298401277817089,-0.008234196849684525,0.03211529425478815,0.17890921526608056,0.017812984672601045
1699354834073656343,68,0,,0.01415688492484282,-0.043354609414041324,0.009252816951138037,-0.007302396267762786,0.01880943461614493,0.19850283050335665,0.018219898042713293
1699354834084708702,69,0,,0.015683552192807725,-0.04873051962163696,0.004864198630397925,-0.010360088755604933,0.019949924464918785,0.19426054565666273,0.018977306305551465
1699354834094314662,70,0,,0.01422960554833191,-0.04114908542540386,0.0006390044270777006,-0.0005072587030460886,0.021652843501361468,0.17920982457999085,0.016884388748300748
1699354834105409474,71,0,,0.019240168578204635,-0.03530828170905883,-0.0020760552650995138,-0.004389658770193466,0.005041633670179459,0.1817691414923505,0.017929789097233407
1699354834116387504,72,0,,0.02105172190869492,-0.03268351468067149,0.0008876192011885151,-0.004545778065645415,0.004505636067733276,0.18638829911700033,0.021488909002514742
1699354834127423284,73,0,,0.025718614975505736,-0.036848771122570664,-0.0039983333157945595,-0.003662804876598716,0.015714610180142606,0.19441208643894933,0.01611721481906559
1699354834137689308,74,0,,0.018935644094736546,-0.03258899169847344,0.00039327056556034403,-0.001463574692243186,0.01115936879902834,0.20478046258688393,0.019308698693360913
