%time,field.header.seq,field.header.stamp,field.header.frame_id,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.velocity5,field.velocity6
1699439612606961068,23,0,,0.0015866493873402492,0.0034636108613547876,-0.004604328514056605,0.0022652708353716666,0.0026686025057719967,-0.0007037354079690966,-0.02017046980894564
1699439612617200030,24,0,,-0.0005997928474099478,0.0005678803098724578,-0.002348867057146053,0.0008310309570376342,0.0021389741070258735,0.000229147703166125,-0.029471433418351747
1699439612626943876,25,0,,0.0003340498494553652,-0.00012026308519461721,-0.0032647898132734466,0.00054120331273374,0.0005346681798086113,-9.129281710967817e-05,-0.02361475212485831
1699439612638099641,26,0,,0.002061143844209956,-0.00021843822185232275,-0.004115796701823366,0.0024066926531545532,0.011868060310601948,-0.00046836951985769075,-0.017749215171710082
1699439612647892704,27,0,,-0.0008344361851603893,-1.4740499361980272e-05,-0.006071736816096879,-0.0018573632634670857,0.004980262680655232,7.942688670313891e-05,-0.018818527142171464
1699439612658634575,28,0,,-0.0008852287078662907,3.638755358560959e-05,-0.0029743095706749683,-0.00025314197448957933,0.0016977147162893624,-0.0001250085812827462,-0.02715202644980622
1699439612669104773,29,0,,-0.002691121454461454,0.0014273482470433007,-0.003813411233824833,-6.34533485131632e-06,0.005438077863409057,0.0001251140560449188,-0.015109179351273223
1699439612679155353,30,0,,0.0009067548167091654,0.0010343423653825425,-0.005075514950761448,-0.0003164374031105632,0.0065718867714786595,-0.002564851935642371,-0.017384964376789887
1699439612689915487,31,0,,0.00032217881871533186,0.0007352976897593573,-0.0013675187233860827,0.0015668452243737514,0.0014992178379427744,-0.0002446793044634185,-0.021215986131700892
1699439612700208914,32,0,,0.0006901587952327986,-0.0005280228644967027,-0.004261456024769081,0.0005228665802812962,0.004531029947603472,-0.00016867576586552748,-0.017072620622182465
1699439612711134631,33,0,,0.0016485527346907771,-0.0004663945238996595,-0.0013453356310662889,0.0010098863579607363,0.0005760854910041037,-3.345163768730435e-05,-0.01856050462528015
1699439612720912645,34,0,,-0.0010556770718507754,-0.0007402274045153048,-0.004786205633141377,0.0008863174695486302,0.005570798724268358,0.0005279147025523834,-0.022059973886820575
1699439612731314576,35,0,,-0.0004455929675550466,0.00044954183045637784,-0.0012254052475270368,0.002761834769427621,0.012433470348417597,-0.0070710669493090055,-0.011149512594590426
1699439612741843018,36,0,,-0.001706260939666992,-0.0010905912955380495,-0.002727889723242693,0.0007881546304085922,0.011925679530724494,0.0001630302347387627,-0.01914022415327089
1699439612752893264,37,0,,-3.2998911117619405e-05,0.0022013149110416182,-0.004748581499795804,-0.00030250381170384604,0.00043432206557839824,0.0038369003609666852,-0.0149509385686468
1699439612763744531,38,0,,-0.008717828718760257,-0.0012834432562666143,-0.002150184708206976,0.0010713398102691,0.0054610507618659725,-0.00016542113196817498,-0.019860689728267225
1699439612774870581,39,0,,-0.0009317512115445481,0.00030352731375093663,-0.006591951235625206,0.0014054472977918394,0.0055931653860448365,-0.0002569315753338729,-0.026494660841595727
1699439612784999110,40,0,,0.00124928496491248,0.0008548499523452862,-0.001626999604019332,-3.5498643871417464e-05,0.007531508347047031,0.0002126690896984744,-0.020006959650520628
1699439612796122444,41,0,,0.0004791512855100911,0.00379426004490998,-0.0023775991708646334,0.0006974793508695675,0.005410920154005859,0.009168229802310282,-0.017334195133070864
1699439612805899070,42,0,,-2.444997452356716e-05,0.0012498581336497939,-0.008882663599044343,-0.00011678174772481813,0.0019793069117328738,0.0004444329682761017,-0.021377124716530305
1699439612817169734,43,0,,-0.0005789256053767496,-0.0010905498197087509,-0.002735413022348712,0.0004393680936398488,0.004156088641104919,-6.40007073248865e-05,-0.013795246174497174
1699439612826899931,44,0,,-0.00032520794162902203,0.0015117879658068417,-0.001715608642930125,0.000972266995101294,0.006237360305350875,0.00017606780388087327,-0.014164782484151452
1699439612837780827,45,0,,-0.0016914311170692713,0.0005010679608910149,-0.004438509008152206,0.001165237059943377,0.0004556755977601437,9.482553045475818e-05,-0.013671701807077406
1699439612847871455,46,0,,-0.0015931646845676187,0.0014179995504882367,-0.006111518364202881,-8.599929967245196e-05,0.007630687066143903,-0.0013293257679645111,-0.009231780006369476
