%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.name6,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.position6,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.velocity5,field.velocity6,field.effort0,field.effort1,field.effort2,field.effort3,field.effort4,field.effort5,field.effort6
1692359921311683323,8,1692359921310545959,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.04848569694395739,-0.7743296046760263,0.019163798222124377,-2.33370424731708,-0.01279439386175794,1.5460648847247798,0.7928223916581103,-0.10688323715808386,0.043445700315756904,0.04052730607499496,0.05717244752089344,-0.035156623627707655,-0.054760381453509595,0.004702529079877148,0.13554739952087402,-3.1262760162353516,0.10899829864501953,21.79837417602539,0.4152364432811737,1.6989988088607788,-0.11829318851232529
1692359921345587800,9,1692359921344591989,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.05208258471554949,-0.7731613915063785,0.020658578578478564,-2.3318604048621983,-0.014055080059874396,1.544189999665729,0.792819171535631,-0.10692183382743263,0.0316946398566996,0.044594518143025404,0.05336242277493256,-0.038123112251298955,-0.04738217431267402,0.0002598991030134981,-0.05091500282287598,-3.1619815826416016,-0.14887523651123047,21.87771987915039,0.4097432792186737,1.7200559377670288,-0.11829318851232529
1692359921379391715,10,1692359921378557693,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.05568012547235404,-0.771943537135848,0.02212689739343715,-2.3300388107979875,-0.015239941837134124,1.5424841099903854,0.7928197891869486,-0.10532182179255388,0.03486798517710656,0.04218399993226978,0.05436795554084693,-0.033497988301108436,-0.05115400095086964,-0.0010022699833129958,-0.12629342079162598,-3.3087711334228516,-0.14887523651123047,22.07211685180664,0.3978414237499237,1.7475217580795288,-0.08533420413732529
1692359921413475359,11,1692359921412699915,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.05929229328949639,-0.7707219125985034,0.023510907556629355,-2.328108660556635,-0.01640925906982783,1.5407556072391686,0.7928231017727316,-0.1029778597458361,0.03379130829734283,0.04125293013687891,0.054110089782064885,-0.031550510317653206,-0.048359187507726255,0.0003138917098416819,0.024463415145874023,-3.4555606842041016,-0.03779125213623047,22.10782241821289,0.3859395682811737,1.7548459768295288,-0.12470187991857529
1692359921447647130,12,1692359921446545913,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.06270052491415914,-0.7695393682670176,0.024728297847235604,-2.32612915208043,-0.01763746203555255,1.5391682479821789,0.7928194372104905,-0.09666318508401595,0.03838278161830734,0.029436842703270027,0.06283761490601102,-0.03751675914134319,-0.043524807661277386,-0.0011022914229795366,0.024463415145874023,-3.4555606842041016,0.03361988067626953,22.07211685180664,0.3914327323436737,1.7054075002670288,-0.09174289554357529
1692359921481252830,13,1692359921480538758,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.06608480269471761,-0.7684119191161481,0.02595581117933238,-2.324001628790589,-0.018796160670793035,1.5375511098592525,0.7928223872430346,-0.09597412247728723,0.0326592225205119,0.038013037551096876,0.06669872969904614,-0.029565354175687623,-0.04695739111319953,-0.0018619727225503986,-0.015209436416625977,-3.3087711334228516,-0.07746410369873047,21.95309829711914,0.3676290214061737,1.7621701955795288,-0.11829318851232529
1692359921515410726,14,1692359921514602882,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.06940114034624763,-0.7673256738653903,0.0271684414093713,-2.321977262580433,-0.019926344946633433,1.5361147978769223,0.7928208657550604,-0.10073924535166151,0.027875850493300474,0.03226401029540814,0.05170509742767514,-0.03901441302147069,-0.050203672096162916,-0.0009448755729904582,-0.08662056922912598,-3.2730655670166016,-0.03779125213623047,21.95309829711914,0.3612203299999237,1.6989988088607788,-0.10456027835607529
1692359921549395737,15,1692359921548539909,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.07268214771735267,-0.7662109392318495,0.02837025949113036,-2.3200963957202756,-0.02110062126456692,1.5345993744572413,0.7928187295488183,-0.09463960185060347,0.030985300942556426,0.035850410045103684,0.05659771029386216,-0.029125714338334188,-0.03979101278733388,-0.0008696621011326125,-0.16199898719787598,-3.2016544342041016,-0.14887523651123047,21.91739273071289,0.3557271659374237,1.6916745901107788,-0.08533420413732529
1692359921583462510,16,1692359921582615936,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.0758388221475207,-0.7650255624336394,0.029475889018260735,-2.318297179474187,-0.02219013451698867,1.5331884771039526,0.7928184074972191,-0.08793744252080563,0.03631001851588325,0.028910581264169604,0.052248084211556155,-0.04212161251981165,-0.041559622213677795,-0.0003205367645505488,0.024463415145874023,-3.2373600006103516,-0.11316967010498047,22.03244400024414,0.3676290214061737,1.7548459768295288,-0.09174289554357529
1692359921617694237,17,1692359921616582006,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.07898836852377375,-0.763755628584127,0.03057498127528584,-2.316399326233147,-0.02333286996443079,1.5317619839678067,0.7928172995073977,-0.0924324831351902,0.05006772001449401,0.03622082942100579,0.05735205002195177,-0.03486263684825722,-0.04344861353036885,-0.0009500452290351436,-0.12629342079162598,-3.4555606842041016,-0.22425365447998047,21.99277114868164,0.3191060721874237,1.7411130666732788,-0.07251682132482529
1692359921651730849,18,1692359921650542929,,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,-0.08210163541947774,-0.7624266598333823,0.03163846660009623,-2.3144201324290186,-0.024495992367965822,1.5304367442787488,0.7928225079240437,-0.0965923429736071,0.037313314145436816,0.03139781538488495,0.06088642799279589,-0.03730382219887409,-0.033495248325314204,0.0036331415163422393,-0.12629342079162598,-3.4555606842041016,-0.26392650604248047,21.91739273071289,0.3255147635936737,1.6916745901107788,-0.11829318851232529
