%time,field.header.seq,field.header.stamp,field.header.frame_id,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.position6
1699372137498910543,22,0,,-1.731692334429118e-05,-0.7865132201108264,-0.002335989151488932,-2.355636862500022,-0.0009629607922909888,1.5780201198417325,0.7870094462088109
1699372137509689426,23,0,,-1.8784741787287277e-05,-0.7865100477574819,-0.0023811991922208483,-2.355648803987816,-0.0009108397942652988,1.578013382458952,0.7867678433577936
1699372137520685574,24,0,,-1.6537412134196197e-05,-0.7865064914382166,-0.0024473460559428797,-2.355643515297877,-0.0008629031654384924,1.5780144519055594,0.7865413040083737
1699372137531523546,25,0,,-2.6954295939531117e-05,-0.7865033191624936,-0.002495621321935443,-2.355637947517527,-0.0008162843626146038,1.5780159902923447,0.7863230282923348
1699372137542004799,26,0,,-3.7149048695336676e-05,-0.7864994271806751,-0.0025382766712541407,-2.355637920045429,-0.000773838098927341,1.5780149036829911,0.7861161884785329
1699372137552791252,27,0,,-4.651437533930216e-05,-0.7864913828162976,-0.0026013154172605216,-2.3556407315771324,-0.0007177702814210044,1.578013024738516,0.7858864347530496
1699372137564072727,28,0,,-5.27482745511662e-05,-0.7864820364805024,-0.002652940115815518,-2.3556455819313986,-0.0006572550304243397,1.5780113148470383,0.7856598676067499
1699372137574678627,29,0,,-7.08880073444346e-05,-0.7864771553538425,-0.0026911756720749067,-2.3556435411585173,-0.0006034162780459243,1.5780061425831942,0.7854367305790768
1699372137585850809,30,0,,-7.882263005606389e-05,-0.7864678542621524,-0.002750775010793172,-2.355640961165693,-0.0005649001309193832,1.5779950784934678,0.7852164125431267
1699372137595623424,31,0,,-8.648448021428627e-05,-0.7864533329072242,-0.0028093874893017,-2.355641622973159,-0.000521227290144554,1.5779971982672643,0.7850154358484498
1699372137606968248,32,0,,-9.302072887180158e-05,-0.7864454048812745,-0.002851498559357109,-2.35564359310059,-0.00047114275895900157,1.5779926304930947,0.7848072791691691
1699372137616839705,33,0,,-9.764262377112897e-05,-0.7864278293015768,-0.0028872244887901805,-2.355640013813193,-0.0004351197460090979,1.577983744905664,0.7846053112182158
1699372137626702092,34,0,,-9.80047535545618e-05,-0.7864143285298703,-0.002936605498045518,-2.355645594563827,-0.0003931065933146284,1.5779722819290105,0.7844153064405655
1699372137637013315,35,0,,-0.00010599583594169612,-0.7863990575849454,-0.002986994367223806,-2.355643520789685,-0.0003390748638669314,1.577967802528281,0.7842407117995209
1699372137646741317,36,0,,-0.0001064863180230066,-0.7863879613214602,-0.0030173882372108865,-2.355642909511158,-0.00030097830889604793,1.5779590281458904,0.7840674121468537
1699372137657905439,37,0,,-0.0001097190306684192,-0.7863726992556533,-0.0030516469320938117,-2.3556438334546432,-0.00026732068744122453,1.5779494920476054,0.7838647569117896
1699372137668818577,38,0,,-0.0001110929951469323,-0.7863596225341957,-0.0030961225313800287,-2.355635754360397,-0.0002246860036336608,1.5779460166628059,0.7836812510738251
1699372137679844028,39,0,,-0.00010827686063602759,-0.7863471016293444,-0.0031430238678909184,-2.3556438310187997,-0.00016170904916260796,1.577939184366136,0.7835003339705429
1699372137689660950,40,0,,-0.00011708361738855612,-0.7863266108788134,-0.0031888936695694194,-2.355643839522085,-0.00012169563083828046,1.5779302480123907,0.7833287181661105
1699372137701156996,41,0,,-0.00011765924896062923,-0.7863215585819742,-0.003228912646249996,-2.355646615078623,-8.507549215892846e-05,1.577919893069155,0.7831603939651883
1699372137713833928,42,0,,-0.00013086020274446152,-0.7863178298176641,-0.003272889250801091,-2.355645897313168,-5.72453857194486e-05,1.5779117500714215,0.7830154754759378
1699372137723928962,43,0,,-0.0001267512520054847,-0.7863027175193,-0.0033303467752671635,-2.3556445972707882,-1.9027554993389264e-05,1.5778975154175352,0.782804255368831
1699372137734152594,44,0,,-0.00012497770738281505,-0.7863016819567752,-0.003374017465432002,-2.3556410847643403,2.3929507079264057e-05,1.577895209556858,0.7826709786064832
1699372137744063933,45,0,,-0.0001327218534951268,-0.7862999319908165,-0.003409358535084921,-2.3556420772199615,6.795828057841326e-05,1.577883899538309,0.7825308972159956
1699372137754760951,46,0,,-0.00013713973933158902,-0.7862891728444048,-0.0034547295755938774,-2.355644146388905,0.00011505540690239931,1.57787423260286,0.7823693805095983
1699372137764910135,47,0,,-0.00014206815200003617,-0.7862885076012104,-0.0035071896757561693,-2.355644863851056,0.000155100549298292,1.577869408252052,0.7822385746716867
1699372137774665880,48,0,,-0.00014794395673362458,-0.7862821914982104,-0.0035387124882866132,-2.3556413623058283,0.00018930273084661177,1.5778588657319224,0.7821022855222864
1699372137785720694,49,0,,-0.00015261599366527432,-0.7862764932185264,-0.003588948295971297,-2.355644069556229,0.0002179531532499634,1.5778503929279681,0.781949226222823
1699372137796027909,50,0,,-0.00015152853069984353,-0.7862701339844201,-0.0036263955870841635,-2.3556420511043092,0.00024682726945497886,1.5778412224030647,0.7818295791757907
1699372137806788219,51,0,,-0.0001604104174169537,-0.78626548167591,-0.0036566003111903568,-2.3556469304642325,0.0002809826275892472,1.5778320536536266,0.7816828757595435
1699372137816702777,52,0,,-0.00015940809640393647,-0.7862533807612038,-0.0037055427781109186,-2.355647631507628,0.00030950898843442676,1.5778238768370791,0.7815469907782603
1699372137827936326,53,0,,-0.00016499557971741215,-0.7862463694305729,-0.0037481908407526817,-2.355642281642637,0.000346863018541719,1.5778191164039108,0.7814213787895317
1699372137837979043,54,0,,-0.0001733200037071185,-0.7862395409816625,-0.0037743479912114354,-2.3556441807441657,0.00037371557822179526,1.5778119987952475,0.7813158905164229
1699372137848679693,55,0,,-0.00018073581386153593,-0.7862217472557882,-0.0037981406865875917,-2.3556500180919704,0.0004133767484764036,1.5778038169590565,0.7811962556771996
1699372137858884612,56,0,,-0.00018427846051949487,-0.7862119276847742,-0.0038354117123576095,-2.3556497918101424,0.0004517128556720853,1.5777893625560138,0.7810932257512453
1699372137869589326,57,0,,-0.00018747427077348545,-0.7862047474467745,-0.003869785189421413,-2.35564724584077,0.00048794075676297755,1.5777775469883,0.7809804981798129
1699372137880743154,58,0,,-0.00018524479518809787,-0.7861927803886484,-0.0038873297086075244,-2.3556474971609513,0.0005134021471632202,1.5777676177093365,0.780870250134759
1699372137890907283,59,0,,-0.0001927990714621844,-0.7861806780688368,-0.00391707652680431,-2.3556510220672253,0.0005337382495797973,1.5777496792928163,0.7807659277923354
1699372137900640644,60,0,,-0.00019363500507858043,-0.786171343840189,-0.003948915683279554,-2.355650029918675,0.0005613773890243328,1.5777380964939987,0.7806626159677219
1699372137911742982,61,0,,-0.00019459390249576826,-0.7861594583672461,-0.003990302022658596,-2.3556561425324762,0.0005955823074705653,1.5777339810596296,0.780566661163544
1699372137922843448,62,0,,-0.00020082628127741925,-0.7861461331169021,-0.004019459164437687,-2.355653367761928,0.0006424535796907334,1.5777287924261767,0.7804693794662866
1699372137932906307,63,0,,-0.00020414044544077423,-0.786142211775554,-0.004038198255087131,-2.355656151821739,0.0006692410016723164,1.5777232669386232,0.7803909856387735
1699372137943549180,64,0,,-0.0002083748189627914,-0.7861329372741378,-0.004068024069731971,-2.355653365530908,0.000699111476083983,1.5777184397793043,0.7802953972220711
1699372137953634960,65,0,,-0.00020525445410995223,-0.7861319671303998,-0.004105619521647982,-2.355653632355235,0.0007232869799142491,1.5777124916050707,0.7802083448319174
1699372137964565777,66,0,,-0.0002162364077608115,-0.7861201752342172,-0.004144396904905285,-2.3556592508973355,0.0007489860170501876,1.577705947704112,0.7801218669083121
1699372137974970427,67,0,,-0.00021693238868188017,-0.7861184373977882,-0.004177054897939766,-2.355659251263261,0.0007701171698669011,1.5776968089773555,0.7800496053268597
1699372137985808561,68,0,,-0.00022228606390196554,-0.7861070211606785,-0.004214658880880268,-2.3556559999574866,0.0008064637593916967,1.577689926727686,0.7799617061043117
1699372137995708045,69,0,,-0.00022531696463614395,-0.7861006699546383,-0.00424805759929631,-2.3556544283212926,0.0008351141040927173,1.577685636501623,0.7798948088804579
1699372138006965560,70,0,,-0.00022891130679297632,-0.7860968760518672,-0.004283549617514192,-2.355659804935926,0.0008568947341622784,1.5776768183822019,0.779820940776361
1699372138017820223,71,0,,-0.00023459279690877052,-0.7860879258200538,-0.004313054800852993,-2.3556598054027766,0.0008803740482227837,1.577667799319595,0.7797529294263966
1699372138029985451,72,0,,-0.00024424189706366843,-0.7860900083613888,-0.004342155668425054,-2.3556628829562634,0.0009050116485501439,1.5776647815591895,0.7796861025928564
1699372138040692689,73,0,,-0.0002480847383219437,-0.786075410837907,-0.00436608492425323,-2.355662387459336,0.0009379301921693544,1.5776576323712228,0.7796157707089034
1699372138050715046,74,0,,-0.0002478297684951797,-0.786073816824085,-0.004387637439744429,-2.3556628956620322,0.0009607369780400633,1.577648146034791,0.7795597308114396
1699372138062523456,75,0,,-0.00025655153956003445,-0.7860625777661557,-0.004415323860786866,-2.355663142922327,0.0009898541571317966,1.5776413352256815,0.7794840496871698
1699372138072949664,76,0,,-0.0002549478438444871,-0.7860646973385802,-0.004432944469021302,-2.355663378398863,0.001014196835034318,1.5776360671322014,0.7794247149994566
1699372138083777621,77,0,,-0.0002582058744665819,-0.7860551574753355,-0.004457696069651943,-2.355665781118749,0.0010331897344735494,1.5776298801511874,0.7793823440367018
1699372138097728338,78,0,,-0.0002609846540081402,-0.7860456795406253,-0.0044784993992313,-2.3556660039454145,0.0010612440809000061,1.5776222311300265,0.7793356324763399
1699372138107748377,79,0,,-0.0002634702630721943,-0.7860367652127636,-0.0045034561305910895,-2.3556662143499625,0.0010825339174120238,1.577618621766561,0.7792419273086941
1699372138118567524,80,0,,-0.00026737494318501774,-0.7860299889749559,-0.004531435037903316,-2.3556693037810437,0.0011095818416966211,1.5776101074494107,0.7791841286882742
1699372138129690238,81,0,,-0.00027057505209239735,-0.7860179032003939,-0.004557376628706387,-2.355669341806565,0.0011288904260019275,1.5776068200456148,0.7791466632945095
1699372138140897009,82,0,,-0.0002737704234575179,-0.7860090708386859,-0.004588957937870242,-2.355666557747021,0.0011542640206212925,1.577596655614769,0.7791117861819982
1699372138151650219,83,0,,-0.0002744327556726566,-0.7860016066441163,-0.004619812884584638,-2.3556749947575013,0.001178246993094835,1.5775903239721947,0.7790607092406666
1699372138162531477,84,0,,-0.0002801529392343212,-0.7859976491419441,-0.00465636995104369,-2.355669904433542,0.0012025705867334767,1.577589091608345,0.7790028727771667
1699372138172882430,85,0,,-0.00028335683306403016,-0.7859876541146568,-0.004684885187155684,-2.3556729948804715,0.0012243340610335704,1.577581800989464,0.7789408159449378
1699372138183140216,86,0,,-0.00028715202662203475,-0.7859820655303539,-0.004714639505592815,-2.3556739134016995,0.001243094809472043,1.5775745704099986,0.7788957245211745
1699372138192872594,87,0,,-0.000295462325858499,-0.7859706286022468,-0.004745177488911088,-2.3556815857284095,0.0012580085240532354,1.5775678885256785,0.7788650090731368
1699372138203634420,88,0,,-0.00030193680916852346,-0.7859633588405122,-0.004771869835464594,-2.355676396462519,0.0012795713400834906,1.5775626068243533,0.7788416950256842
