1699451712378319868,22,0,,-0.00011815331696951493,-0.7856459909643031,-0.002067055213427584,-2.3581239429643692,0.002596209645962798,1.5731148026394277,0.7750185348232866
1699451712387957895,23,0,,-0.00012356845973357663,-0.7856472045738466,-0.0020725166801774052,-2.3581270305662643,0.002591500949482937,1.5731132767597833,0.7750151285307844
1699451712399180599,24,0,,-0.0001316696676484242,-0.7856549785909893,-0.00207038906115343,-2.3581240965759025,0.0025901373625055453,1.5731179817684182,0.7750223553875836
1699451712410389447,25,0,,-0.000110427002531591,-0.7856652883144354,-0.002064724598239722,-2.3581160562068226,0.002592427143689108,1.5731187953731072,0.7750223553876081
1699451712420061305,26,0,,-9.529648551833844e-05,-0.7856758559870897,-0.0020647236360776533,-2.3581131675916214,0.0025927807518153516,1.5731156310301107,0.7750195070803164
1699451712431153784,27,0,,-7.402944700568474e-05,-0.7856741739233493,-0.002067230227965057,-2.3581159597895938,0.002592782056678481,1.5731141341684562,0.775019513021703
1699451712441349074,28,0,,-6.992152850302346e-05,-0.7856766732430442,-0.002066993210919679,-2.3581081955521483,0.0025881136356709195,1.573117321804802,0.7750209794541387
1699451712452049655,29,0,,-6.420643741870494e-05,-0.7856766654362451,-0.002061914209935041,-2.3581121873986484,0.0025890685406770577,1.573115160714807,0.7750209509197103
1699451712462107017,30,0,,-6.140820955721725e-05,-0.7856766769917913,-0.0020594822333207985,-2.3581136979033532,0.0025917968604410634,1.5731140517944777,0.7750264712055832
1699451712473431409,31,0,,-5.0417035975411135e-05,-0.7856741332915301,-0.0020533983266624997,-2.3581159607943567,0.0025885992337239777,1.5731132768133995,0.7750203121403848
1699451712484375570,32,0,,-3.454090064795127e-05,-0.7856742666420805,-0.0020507743426014346,-2.3581131845965433,0.002587949247019993,1.5731183391802737,0.7750222148323276
1699451712495000236,33,0,,-2.562520433089087e-05,-0.7856685655388537,-0.002057629756888364,-2.3581131767474166,0.002589311129915184,1.5731156300272053,0.7750192488480222
1699451712507125796,34,0,,-2.0001801670576982e-05,-0.7856613715377109,-0.0020608387172121457,-2.3581106710935895,0.0025878863758720515,1.573116806952336,0.7750257635708402
1699451712517453659,35,0,,-3.04788720384749e-05,-0.7856553622838534,-0.0020559102738670594,-2.3581159516497645,0.0025824960995250224,1.5731152871621585,0.7750317767441426
1699451712528135958,36,0,,-2.2775077043069337e-05,-0.7856481290632067,-0.002058741792666364,-2.3581131767473202,0.002583450210665811,1.5731156556893644,0.7750217376450333
1699451712538444070,37,0,,-1.9925857026588866e-05,-0.7856496717023234,-0.0020555609527743734,-2.3581240345804315,0.002580137898581922,1.5731172694769193,0.7750268257172007
1699451712549305327,38,0,,-1.670367098873209e-05,-0.7856574900580828,-0.0020637963853421034,-2.3581248913029462,0.0025784016909421456,1.5731159059012711,0.77502401716488
1699451712560458449,39,0,,-1.8809425452191505e-05,-0.7856699115547577,-0.002069439097367023,-2.3581188478153843,0.0025790197201719122,1.573118020805162,0.7750323220789432
1699451712570785800,40,0,,-2.4113589378822843e-05,-0.7856787136730469,-0.0020732300936648546,-2.3581106738397652,0.002575656431442042,1.5731184601135784,0.7750291166917713
1699451712580875453,41,0,,-2.130366014060636e-05,-0.7856890329351289,-0.0020733474504218293,-2.358110423844739,0.002575641980957555,1.5731132782873323,0.7750338781773837
1699451712592296067,42,0,,-1.885017858403692e-05,-0.7856894419946817,-0.0020672430765965814,-2.3581076172423456,0.002575519208534565,1.5731156577862104,0.7750295439723771
1699451712601819035,43,0,,-4.878193994729678e-06,-0.7856854199950275,-0.002061949426042363,-2.3581073332382916,0.002571951740124766,1.5731148070000402,0.7750295570544055
1699451712611844070,44,0,,1.0829504584958371e-05,-0.7856824054795184,-0.0020565941560643,-2.3581074156497808,0.0025715921929120944,1.5731144481353008,0.7750302692949744
1699451712622828598,45,0,,3.0371593894309556e-05,-0.7856693269867857,-0.0020587710222554297,-2.3581156847806994,0.002572223404288368,1.573114131263292,0.7750321433006746
1699451712632989300,46,0,,4.703956805281056e-05,-0.785658504017389,-0.0020595341369413597,-2.3581187314747054,0.002572171285211771,1.5731151676432882,0.7750364049453415
1699451712643242949,47,0,,5.6786226345057045e-05,-0.785650355011885,-0.002058744730464138,-2.3581180031199724,0.0025714585580455794,1.573115620819664,0.7750327997098667
1699451712652960889,48,0,,5.64655995172653e-05,-0.7856553286688055,-0.0020589815537400045,-2.3581221646969643,0.002567423145852687,1.5731152125399328,0.7750327995493244
1699451712664232986,49,0,,5.365049532220479e-05,-0.7856606506934579,-0.002059063278873174,-2.3581159843582338,0.002566665528074668,1.5731173892080408,0.7750386997759331
1699451712673817415,50,0,,6.167384315508604e-05,-0.7856630535385766,-0.002059455232423719,-2.3581187448672885,0.0025668827365982424,1.57311480899327,0.7750370776707095
1699451712684967398,51,0,,6.03675606732831e-05,-0.7856683422885754,-0.0020636944434301394,-2.3581159604679693,0.0025667906693088716,1.5731180222525203,0.775043428845056
1699451712695729005,52,0,,6.431195793855044e-05,-0.7856713555802876,-0.0020691984511142535,-2.3581106710935877,0.0025618756947849994,1.5731163856269172,0.775039812395748
1699451712705765669,53,0,,5.580756226670137e-05,-0.7856734615760468,-0.002067227327661974,-2.3581109240352007,0.002558675612501051,1.5731148026654975,0.7750431846792966
1699451712717265311,54,0,,5.8583167145710594e-05,-0.7856818785658976,-0.002067230264035127,-2.358107887021114,0.002557079947112766,1.5731199799740627,0.7750437623134677
1699451712726997454,55,0,,5.572961590680894e-05,-0.7856738537723215,-0.0020699354143434425,-2.3581124348876275,0.002557791473761739,1.5731140949826323,0.7750409719022897
